Day,Name_start,Latitude_start,Longitude_start,Category_start,Cluster_start,Name_end,Latitude_end,Longitude_end,Category_end,Cluster_end,Distance,Fare
1,1 Hotel Central Park,40.765116497794985,-73.976485256087,Hotel,-1,Statue of Liberty,40.689253199999996,-74.04454817144321,Monument/Landmark,-1.0,10.199770937961,42.41
1,Statue of Liberty,40.689253199999996,-74.04454817144321,Monument/Landmark,-1,Brooklyn Bridge,40.70596749893083,-73.99670720100403,Bridge,1.0,4.4491062510717665,32.81
1,Brooklyn Bridge,40.70596749893083,-73.99670720100403,Bridge,1,Empire State Building,40.7485995507123,-73.98580648682452,Building,6.0,4.8229668999747135,26.76
1,Empire State Building,40.7485995507123,-73.98580648682452,Building,6,Madison Square Garden,40.75075196505169,-73.99354219436646,Basketball Stadium,6.0,0.6956543063943936,0.0
1,Madison Square Garden,40.75075196505169,-73.99354219436646,Basketball Stadium,6,1 Hotel Central Park,40.765116497794985,-73.976485256087,Hotel,-1.0,2.1492109459600295,13.66
2,1 Hotel Central Park,40.765116497794985,-73.976485256087,Hotel,-1,Yankee Stadium,40.82986861867286,-73.92658352851866,Baseball Stadium,8.0,8.333166289838948,31.85
2,Yankee Stadium,40.82986861867286,-73.92658352851866,Baseball Stadium,8,Central Park - Engineers' Gate,40.78407530231456,-73.95869493484497,Monument / Landmark,3.0,5.762168856037714,25.53
2,Central Park - Engineers' Gate,40.78407530231456,-73.95869493484497,Monument / Landmark,3,Solomon R Guggenheim Museum,40.78305146085593,-73.95926526701106,Art Museum,3.0,0.12346941099048349,0.0
2,Solomon R Guggenheim Museum,40.78305146085593,-73.95926526701106,Art Museum,3,The Metropolitan Museum of Art (Metropolitan Museum of Art),40.77972902126812,-73.96341562271118,Art Museum,3.0,0.5087907642948359,0.0
2,The Metropolitan Museum of Art (Metropolitan Museum of Art),40.77972902126812,-73.96341562271118,Art Museum,3,1 Hotel Central Park,40.765116497794985,-73.976485256087,Hotel,-1.0,1.962311852644632,13.51
3,1 Hotel Central Park,40.765116497794985,-73.976485256087,Hotel,-1,The Obelisk (Cleopatra's Needle),40.779655625514,-73.96542213467797,Monument / Landmark,3.0,1.8652494815077594,13.55
3,The Obelisk (Cleopatra's Needle),40.779655625514,-73.96542213467797,Monument / Landmark,3,Belvedere Castle,40.77935937115963,-73.96903216838837,Castle,3.0,0.306511469060256,0.0
3,Belvedere Castle,40.77935937115963,-73.96903216838837,Castle,3,Alice in Wonderland Statue,40.77503960222394,-73.96656561181653,Outdoor Sculpture,3.0,0.5229498370551202,0.0
