Name,Latitude,Longitude,Category,Price,Total cost
1 Hotel Central Park,40.765116497794985,-73.976485256087,Hotel,642,1627.05
JW Marriott Essex House New York,40.76627698107096,-73.97857233995056,Hotel,663,1669.05
"The Ritz-Carlton New York, Central Park",40.76527186751358,-73.97599920630455,Resort,319,981.05
The St. Regis New York,40.76133896882978,-73.97439231534423,Hotel,149,641.05
The Peninsula New York,40.761658441958225,-73.97538363933562,Hotel,668,1679.05
West Side YMCA,40.77086,-73.98064000000001,Gym / Fitness Center,109,561.05
Park Central Hotel New York,40.76481,-73.9814,Hotel,288,919.05
Gardens Suites Hotel by Affinia,40.76438275010004,-73.96312594413756,Hotel,406,1155.05
Park Hyatt New York,40.765254511892145,-73.97917696788399,Hotel,208,759.05
Dream Midtown,40.7644198,-73.98200770000001,Hotel,355,1053.05
The Manhattan Club,40.76482764887607,-73.98137837648392,Hotel,268,879.05
Renaissance New York Times Square Hotel,40.75971,-73.984643,Hotel,365,1073.05
"The Lexington Hotel, Autograph Collection",40.754945899999996,-73.973015,Hotel,378,1099.05
Lotte New York Palace,40.75818520000001,-73.97499049999998,Hotel,594,1531.05
Fifty Hotel & Suites by Affinia,40.7560686,-73.9710311,Hotel,223,789.05
W New York - Times Square,40.75929565924598,-73.98557268083096,Hotel,245,833.05
The Times Square EDITION,40.759100344845656,-73.98438189259569,Hotel,481,1305.05
